Байршлаар,Аймаг,2021,2022,2023,2024
Бүгд,Улсын дүн,"3,409,939","3,457,548","3,504,741","3,544,835"
Бүгд,Баруун бүс,"418,607","418,707","419,864","422,845"
Бүгд,Баян-Өлгий,"112,836","114,776","116,615","118,275"
Бүгд,Говь-Алтай,"57,818","57,098","56,752","56,523"
Бүгд,Завхан,"72,731","71,798","71,126","70,719"
Бүгд,Увс,"84,095","83,964","83,914","84,911"
Бүгд,Ховд,"91,127","91,071","91,457","92,417"
Бүгд,Хангайн бүс,"606,430","603,427","602,959","602,597"
Бүгд,Архангай,"94,205","93,149","92,343","91,559"
Бүгд,Баянхонгор,"89,043","88,397","88,166","88,029"
Бүгд,Булган,"61,943","61,161","60,535","60,332"
Бүгд,Орхон,"108,713","109,125","110,440","111,890"
Бүгд,Өвөрхангай,"115,732","114,962","114,630","114,351"
Бүгд,Хөвсгөл,"136,794","136,633","136,845","136,436"
Бүгд,Төвийн бүс,"518,344","515,771","518,227","521,667"
Бүгд,Говьсүмбэр,"18,150","18,007","18,042","18,159"
Бүгд,Дархан-Уул,"107,751","107,932","109,236","110,544"
Бүгд,Дорноговь,"71,457","71,129","71,517","72,097"
Бүгд,Дундговь,"46,920","46,387","46,092","45,900"
Бүгд,Өмнөговь,"71,720","72,937","75,198","77,370"
Бүгд,Сэлэнгэ,"108,878","107,341","106,691","106,042"
Бүгд,Төв,"93,468","92,038","91,451","91,555"
Бүгд,Зүүн бүс,"227,386","227,877","228,843","229,575"
Бүгд,Дорнод,"83,757","83,704","84,053","84,604"
Бүгд,Сүхбаатар,"64,662","65,214","65,696","65,791"
Бүгд,Хэнтий,"78,967","78,959","79,094","79,180"
